,timestamp,open,close,high,low,volume,amount
2018-06-27,1530057600,430.0,442.307334,445.0,420.901,1383.1723364,598709.4425530499
2018-06-28,1530144000,442.307334,420.7,443.270072,417.457362,1145.6601013999998,495012.34412514
2018-06-29,1530230400,420.7,432.929353,442.0,406.928838,1580.5221653,660493.57434045
2018-06-30,1530316800,434.05,453.932025,463.910852,433.050001,1249.179513,561759.2519603
2018-07-01,1530403200,454.121892,451.846071,457.884403,443.327466,767.3472052,346781.2151315
2018-07-02,1530489600,452.080122,476.02118,481.59317,444.468654,1782.5016421,830968.9391722701
2018-07-03,1530576000,477.42335,461.42028,487.20062,460.0,1490.2540246,704582.8992045299
2018-07-04,1530662400,461.6766,467.3,482.397442,452.101077,2087.007832,973521.2038262701
2018-07-05,1530748800,467.422575,467.328951,479.62703,458.397649,1632.5380595000001,764666.9854642199
2018-07-06,1530835200,467.328951,469.511112,474.090204,451.69979,1365.8027081,635698.2310095499
2018-07-07,1530921600,470.240601,486.501,488.382836,462.036348,946.8001905,445946.53960675
2018-07-08,1531008000,486.500312,486.164946,495.0,481.6626,1081.2619824,526738.69412644
2018-07-09,1531094400,486.164946,470.979455,488.683411,469.5,1360.1861153,651627.4857819501
2018-07-10,1531180800,471.950134,431.547705,473.546373,426.894099,3483.8598635999997,1556122.1059878902
2018-07-11,1531267200,431.512929,443.251958,445.590744,424.662528,2614.671095,1141552.19193431
2018-07-12,1531353600,444.947545,429.110167,444.947545,418.686714,2481.0465757,1072015.9919985202
2018-07-13,1531440000,430.418496,432.280343,442.20933,425.617808,1153.2361253,502425.80217685003
2018-07-14,1531526400,432.127299,433.486847,439.360601,428.384168,821.4265763,355507.60758822
2018-07-15,1531612800,433.09662,449.78,454.949122,430.108013,798.8210076999999,355432.83562954003
2018-07-16,1531699200,449.092693,478.524798,480.466091,445.131958,3412.7473446000004,1598230.81056875
2018-07-17,1531785600,478.41,498.461035,510.782061,466.025054,2718.16844,1324814.27872673
2018-07-18,1531872000,498.0,479.445377,515.609044,469.693029,2328.8350546,1154393.6985826902
2018-07-19,1531958400,478.16505,468.236105,484.500715,463.474205,1550.0637621,732987.09089947
2018-07-20,1532044800,469.134386,448.893754,470.14,440.701293,2119.0966038999995,970109.8238936199
2018-07-21,1532131200,449.041051,460.06,469.0,442.501134,731.4253749,336035.73714223
2018-07-22,1532217600,459.640223,457.839288,472.480505,452.535563,785.066407,363678.41271586996
2018-07-23,1532304000,457.899246,450.014769,469.514233,447.907305,1232.2694941,566741.8272067299
2018-07-24,1532390400,450.054741,480.65876,485.04666,447.892695,1324.151941,619908.23934409
2018-07-25,1532476800,481.522853,471.823,486.239947,463.42967,974.9876440999999,463702.80371689005
2018-07-26,1532563200,472.96717,462.1526,484.84275,460.0,877.8193014,414708.87985341
2018-07-27,1532649600,462.1526,469.690986,474.22641,456.847083,1043.4145342000002,484833.76973227
2018-07-28,1532736000,470.114288,468.651714,472.387137,461.0,472.7291874,221485.71936798
2018-07-29,1532822400,468.05001,466.813002,471.659214,461.63,256.3300918,119416.15883583002
2018-07-30,1532908800,465.675745,457.506519,468.617803,443.903699,1324.9391103000003,608987.24090179
2018-07-31,1532995200,453.807451,432.11,457.50652,426.593001,1735.5314689,761457.33007881
2018-08-01,1533081600,432.19725,420.123881,434.406649,408.36,1471.3711856999998,618908.82410936
2018-08-02,1533168000,420.76,411.323618,425.338622,407.033374,1025.1828808,425263.83604183
2018-08-03,1533254400,410.732287,417.945112,419.999599,396.381983,1429.8210205999999,581447.49900288
2018-08-04,1533340800,416.744842,406.0,420.0,402.522568,944.9919428999999,387025.79304150003
2018-08-05,1533427200,406.752258,409.298452,413.094535,400.477759,614.7436187999999,249375.60385844
2018-08-06,1533513600,408.137105,405.449277,413.355058,400.756144,603.2199658,245224.00955498996
